epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,28926.8,0.98459,0.52757,1.02099,0.62034,0.46515,0.46937,0.22565,1.96943,1.86188,1.64295,0.00217152,0.000723839,0.00217152,0.000723839,0.00217152,0.000723839,0.00217152,0.000723839
90,29750.4,1.00477,0.52178,1.016,0.64392,0.44179,0.46898,0.22408,1.97058,1.88675,1.64957,0.00215832,0.000719439,0.00215832,0.000719439,0.00215832,0.000719439,0.00215832,0.000719439
91,30275.8,0.97795,0.52184,1.01614,0.61522,0.46408,0.46581,0.22221,1.97895,1.92496,1.6625,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
92,30811.7,0.99089,0.51918,1.01693,0.60086,0.45573,0.45178,0.21226,1.99677,1.92298,1.67103,0.00213192,0.00071064,0.00213192,0.00071064,0.00213192,0.00071064,0.00213192,0.00071064
93,31302.8,0.99137,0.51585,1.0109,0.60492,0.45009,0.44601,0.21017,1.99676,1.93288,1.67224,0.00211872,0.00070624,0.00211872,0.00070624,0.00211872,0.00070624,0.00211872,0.00070624
94,31770.6,0.99263,0.51835,1.01163,0.62548,0.46744,0.46536,0.22016,1.98336,1.89431,1.66867,0.00210552,0.000701841,0.00210552,0.000701841,0.00210552,0.000701841,0.00210552,0.000701841
95,32427.7,0.97598,0.51705,1.01389,0.62056,0.4527,0.46198,0.21764,1.98889,1.89738,1.67542,0.00209232,0.000697441,0.00209232,0.000697441,0.00209232,0.000697441,0.00209232,0.000697441
96,32900.5,0.9758,0.51637,1.00914,0.57137,0.47787,0.45754,0.21575,1.99869,1.88816,1.68156,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
97,33270.1,0.97889,0.5089,1.00173,0.60049,0.46886,0.45318,0.21517,2.00194,1.93059,1.68322,0.00206593,0.000688642,0.00206593,0.000688642,0.00206593,0.000688642,0.00206593,0.000688642
98,33730.6,0.96129,0.5072,1.00304,0.60304,0.4528,0.44351,0.21165,1.9876,1.95154,1.66523,0.00205273,0.000684243,0.00205273,0.000684243,0.00205273,0.000684243,0.00205273,0.000684243
