epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,39605.1,1.04049,0.56424,1.09096,0.60749,0.43361,0.42627,0.19814,2.02157,1.90143,1.90525,0.000574254,0.000574254,0.000574254
124,39921.2,1.0294,0.56442,1.10002,0.63208,0.42379,0.43519,0.20643,2.00643,1.88262,1.88915,0.000569854,0.000569854,0.000569854
125,40570.7,1.04445,0.56596,1.09336,0.60824,0.43487,0.42819,0.20238,2.0055,1.8781,1.90486,0.000565455,0.000565455,0.000565455
126,40902,1.03032,0.56282,1.08693,0.62711,0.43324,0.43808,0.20608,2.02363,1.90169,1.92997,0.000561055,0.000561055,0.000561055
127,41321,1.01593,0.55917,1.0958,0.63479,0.43051,0.43825,0.20434,2.01928,1.90583,1.92131,0.000556655,0.000556655,0.000556655
128,41925.3,1.03857,0.55061,1.0896,0.63782,0.43141,0.44137,0.20535,2.0167,1.87325,1.92415,0.000552256,0.000552256,0.000552256
129,42760.6,1.01922,0.54931,1.0763,0.60012,0.43331,0.42733,0.20068,2.01591,1.90712,1.92431,0.000547856,0.000547856,0.000547856
130,43178.2,1.00348,0.54315,1.08173,0.59562,0.44482,0.43037,0.20636,2.00539,1.89183,1.91028,0.000543457,0.000543457,0.000543457
131,43928.8,1.01578,0.55376,1.09173,0.62134,0.43858,0.43688,0.2047,2.03541,1.90448,1.95695,0.000539057,0.000539057,0.000539057
132,44254.2,1.0058,0.55011,1.0847,0.61981,0.44348,0.4458,0.21194,2.02064,1.86454,1.9325,0.000534658,0.000534658,0.000534658
133,44623.6,1.00645,0.55053,1.08162,0.60004,0.45959,0.44467,0.21168,2.01422,1.82375,1.9232,0.000530258,0.000530258,0.000530258
134,45390.4,0.99759,0.54517,1.08044,0.57448,0.44358,0.42601,0.20239,2.04161,1.84841,1.95295,0.000525859,0.000525859,0.000525859
135,46074,1.01172,0.54633,1.07656,0.60486,0.45888,0.44216,0.20879,2.04365,1.87406,1.95296,0.000521459,0.000521459,0.000521459
136,46610.4,1.00446,0.54097,1.07209,0.60905,0.44591,0.43847,0.20738,2.03549,1.92435,1.95157,0.000517059,0.000517059,0.000517059
137,47194,0.99775,0.5352,1.06987,0.65115,0.44729,0.44749,0.21015,2.02033,1.85044,1.93443,0.00051266,0.00051266,0.00051266
138,47529.7,0.97812,0.5332,1.06679,0.61491,0.43831,0.43964,0.21189,2.028,1.91105,1.96584,0.00050826,0.00050826,0.00050826
139,48110.6,0.96831,0.52672,1.06458,0.59899,0.45613,0.43796,0.20808,2.02559,1.91035,1.96015,0.000503861,0.000503861,0.000503861
140,48643.6,0.98761,0.53374,1.07102,0.59652,0.45058,0.44031,0.20872,2.03581,1.93945,1.96842,0.000499461,0.000499461,0.000499461
141,49258.7,1.00037,0.53817,1.06958,0.61203,0.44851,0.43419,0.20756,2.03469,1.93613,1.9633,0.000495062,0.000495062,0.000495062
142,49867.2,0.99141,0.5288,1.06495,0.63368,0.44536,0.44668,0.21372,2.03895,1.89195,1.97137,0.000490662,0.000490662,0.000490662
143,50214.6,0.97445,0.52752,1.06213,0.59478,0.46214,0.43659,0.20512,2.05753,1.90453,1.98547,0.000486262,0.000486262,0.000486262
144,50664.9,0.95106,0.51298,1.05758,0.61264,0.46024,0.44661,0.2089,2.03742,1.95114,1.95944,0.000481863,0.000481863,0.000481863
